ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-BLG-RRLYR-01799	0.708	0.056	0.736	0.020	1.693	0.043	6560	100	0.094	0.088	0.60	0.10	0.511	0.029	-0.693	0.080	
OGLE-BLG-RRLYR-01800	0.628	0.056	0.702	0.020	1.652	0.043	6660	100	0.189	0.089	0.68	0.10	0.488	0.029	-0.564	0.081	
OGLE-BLG-RRLYR-01805	0.693	0.054	0.728	0.021	1.595	0.044	6240	100	0.295	0.091	0.86	0.10	0.577	0.028	-0.615	0.082	
OGLE-BLG-RRLYR-01813	0.605	0.050	0.723	0.019	1.580	0.042	6250	100	0.298	0.087	0.866	0.099	0.578	0.028	-0.606	0.077	
OGLE-BLG-RRLYR-01821	0.673	0.052	0.756	0.020	1.667	0.043	6330	100	0.135	0.088	0.68	0.10	0.555	0.028	-0.726	0.079	
OGLE-BLG-RRLYR-01838	0.523	0.049	0.688	0.019	1.643	0.042	6740	100	0.199	0.087	0.673	0.098	0.467	0.029	-0.525	0.079	
OGLE-BLG-RRLYR-01841	0.632	0.057	0.713	0.021	1.663	0.043	6610	100	0.154	0.089	0.65	0.10	0.497	0.029	-0.612	0.081	
OGLE-BLG-RRLYR-01842	0.655	0.050	0.711	0.019	1.614	0.042	6440	100	0.276	0.087	0.801	0.099	0.531	0.028	-0.551	0.077	
OGLE-BLG-RRLYR-01861	0.712	0.056	0.811	0.021	1.816	0.044	6440	110	-0.233	0.092	0.28	0.10	0.529	0.029	-1.054	0.086	
OGLE-BLG-RRLYR-01863	0.712	0.070	0.718	0.026	1.688	0.050	6660	120	0.16	0.10	0.65	0.11	0.484	0.032	-0.58	0.10	
OGLE-BLG-RRLYR-01877	0.664	0.056	0.774	0.022	1.730	0.044	6400	110	-0.035	0.092	0.48	0.10	0.537	0.029	-0.872	0.085	
OGLE-BLG-RRLYR-01880	0.633	0.051	0.733	0.019	1.647	0.042	6410	99	0.173	0.088	0.70	0.10	0.537	0.028	-0.665	0.078	
OGLE-BLG-RRLYR-01887	0.620	0.054	0.745	0.020	1.754	0.042	6710	100	-0.040	0.089	0.435	0.099	0.470	0.029	-0.773	0.082	
OGLE-BLG-RRLYR-01889	0.618	0.056	0.743	0.021	1.643	0.044	6320	100	0.160	0.091	0.71	0.10	0.558	0.028	-0.709	0.082	
OGLE-BLG-RRLYR-01909	0.589	0.053	0.719	0.020	1.686	0.043	6670	110	0.091	0.089	0.58	0.10	0.486	0.029	-0.664	0.082	
