ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-LMC-RRLYR-00936	0.645	0.051	0.733	0.019	1.686	0.042	6570	100	0.095	0.087	0.609	0.098	0.507	0.028	-0.692	0.077	
OGLE-LMC-RRLYR-00943	0.682	0.050	0.764	0.019	1.691	0.042	6370	100	0.068	0.088	0.60	0.10	0.540	0.028	-0.772	0.077	
OGLE-LMC-RRLYR-00944	0.710	0.051	0.786	0.019	1.771	0.042	6480	100	-0.114	0.087	0.415	0.098	0.527	0.028	-0.936	0.079	
OGLE-LMC-RRLYR-00947	0.632	0.054	0.712	0.020	1.684	0.043	6700	100	0.125	0.089	0.62	0.10	0.478	0.028	-0.617	0.081	
OGLE-LMC-RRLYR-00948	0.641	0.052	0.783	0.020	1.778	0.042	6520	100	-0.147	0.088	0.367	0.099	0.515	0.029	-0.944	0.081	
OGLE-LMC-RRLYR-00960	0.685	0.052	0.748	0.020	1.705	0.042	6510	100	0.068	0.087	0.576	0.099	0.516	0.028	-0.737	0.079	
OGLE-LMC-RRLYR-00965	0.750	0.050	0.784	0.019	1.706	0.042	6261	99	0.034	0.087	0.593	0.099	0.566	0.028	-0.851	0.077	
OGLE-LMC-RRLYR-00966	0.662	0.051	0.727	0.019	1.695	0.042	6640	100	0.117	0.089	0.59	0.10	0.475	0.028	-0.629	0.079	
OGLE-LMC-RRLYR-00969	0.624	0.052	0.731	0.020	1.709	0.042	6660	100	0.070	0.087	0.562	0.098	0.484	0.029	-0.679	0.079	
OGLE-LMC-RRLYR-00972	0.651	0.050	0.750	0.019	1.651	0.042	6316	99	0.147	0.088	0.70	0.10	0.559	0.028	-0.722	0.078	
OGLE-LMC-RRLYR-00973	0.601	0.051	0.741	0.019	1.722	0.042	6620	100	0.017	0.087	0.521	0.098	0.492	0.028	-0.751	0.078	
OGLE-LMC-RRLYR-00980	0.624	0.050	0.741	0.019	1.653	0.042	6380	100	0.165	0.087	0.696	0.099	0.541	0.028	-0.684	0.078	
OGLE-LMC-RRLYR-00981	0.668	0.050	0.757	0.019	1.664	0.042	6330	100	0.113	0.088	0.66	0.10	0.553	0.028	-0.747	0.077	
OGLE-LMC-RRLYR-00995	0.655	0.050	0.747	0.019	1.645	0.042	6320	100	0.173	0.088	0.72	0.10	0.559	0.028	-0.702	0.077	
OGLE-LMC-RRLYR-00999	0.704	0.050	0.784	0.019	1.726	0.042	6360	100	-0.009	0.087	0.529	0.099	0.545	0.028	-0.858	0.077	
OGLE-LMC-RRLYR-01000	0.570	0.050	0.721	0.019	1.585	0.043	6300	100	0.281	0.089	0.84	0.10	0.564	0.028	-0.597	0.077	
OGLE-LMC-RRLYR-01002	0.691	0.053	0.736	0.020	1.720	0.042	6650	100	0.049	0.088	0.544	0.099	0.487	0.028	-0.709	0.079	
OGLE-LMC-RRLYR-01003	0.696	0.052	0.781	0.019	1.764	0.042	6490	100	-0.082	0.087	0.458	0.099	0.526	0.028	-0.900	0.079	
OGLE-LMC-RRLYR-01004	0.697	0.051	0.747	0.019	1.709	0.042	6530	100	0.049	0.087	0.567	0.099	0.515	0.028	-0.755	0.078	
OGLE-LMC-RRLYR-01005	0.682	0.050	0.797	0.019	1.747	0.042	6313	99	-0.091	0.087	0.464	0.099	0.559	0.028	-0.961	0.077	
OGLE-LMC-RRLYR-01006	0.697	0.051	0.775	0.019	1.711	0.042	6330	100	0.020	0.087	0.569	0.099	0.555	0.028	-0.842	0.078	
OGLE-LMC-RRLYR-01013	0.713	0.051	0.755	0.019	1.695	0.043	6420	100	0.089	0.088	0.60	0.10	0.534	0.028	-0.742	0.078	
OGLE-LMC-RRLYR-01016	0.638	0.051	0.721	0.019	1.648	0.042	6490	100	0.178	0.087	0.698	0.099	0.523	0.028	-0.638	0.079	
OGLE-LMC-RRLYR-01021	0.548	0.049	0.709	0.019	1.661	0.042	6650	100	0.141	0.087	0.634	0.099	0.488	0.028	-0.611	0.077	
OGLE-LMC-RRLYR-01022	0.694	0.053	0.734	0.020	1.714	0.042	6640	100	0.062	0.088	0.565	0.099	0.490	0.028	-0.702	0.079	
OGLE-LMC-RRLYR-01023	0.588	0.051	0.716	0.019	1.720	0.042	6810	100	0.052	0.087	0.512	0.098	0.451	0.028	-0.646	0.078	
OGLE-LMC-RRLYR-01024	0.579	0.052	0.695	0.020	1.639	0.042	6670	100	0.243	0.088	0.723	0.099	0.479	0.028	-0.501	0.079	
OGLE-LMC-RRLYR-01025	0.698	0.050	0.765	0.019	1.692	0.042	6340	100	0.083	0.087	0.619	0.099	0.549	0.028	-0.774	0.078	
OGLE-LMC-RRLYR-01029	0.646	0.052	0.761	0.020	1.750	0.042	6580	100	-0.051	0.088	0.456	0.099	0.503	0.029	-0.834	0.081	
OGLE-LMC-RRLYR-01031	0.618	0.051	0.711	0.019	1.634	0.042	6510	100	0.213	0.088	0.738	0.099	0.520	0.028	-0.594	0.078	
OGLE-LMC-RRLYR-01032	0.716	0.051	0.759	0.019	1.739	0.042	6560	100	-0.006	0.087	0.509	0.099	0.510	0.028	-0.801	0.078	
OGLE-LMC-RRLYR-01034	0.683	0.051	0.752	0.019	1.664	0.042	6340	100	0.138	0.087	0.679	0.099	0.554	0.028	-0.721	0.078	
OGLE-LMC-RRLYR-01035	0.625	0.050	0.772	0.019	1.709	0.042	6370	100	-0.005	0.087	0.536	0.099	0.542	0.028	-0.851	0.077	
OGLE-LMC-RRLYR-01044	0.580	0.053	0.702	0.020	1.681	0.042	6780	100	0.135	0.088	0.608	0.099	0.461	0.029	-0.578	0.081	
OGLE-LMC-RRLYR-01046	0.677	0.050	0.750	0.019	1.670	0.042	6370	100	0.138	0.087	0.671	0.099	0.544	0.028	-0.712	0.078	
